2023/04/16 10:19:33 [error] 15716#7620: *86 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:19:36 [error] 15716#7620: *87 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:19:38 [error] 15716#7620: *88 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:19:45 [error] 15716#7620: *89 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:19:48 [error] 15716#7620: *90 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:19:51 [error] 15716#7620: *91 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:21:04 [error] 15716#7620: *93 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:21:08 [error] 15716#7620: *94 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:21:14 [error] 15716#7620: *95 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:21:30 [error] 15716#7620: *96 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:21:32 [error] 15716#7620: *97 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:21:37 [error] 15716#7620: *98 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:22:31 [error] 15716#7620: *99 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
